program_id,task_id,pattern_label,confidence,short rationale
45118973,abc222_g,outside_vocabulary,high,"Uses Euler phi, divisors, and modular order; this is number theory outside the frozen classes."
53250614,abc223_e,brute_force_implementation,medium,Enumerates all six rectangle permutations and checks direct geometric packing formulas.
51168884,abc224_f,dynamic_programming,high,Builds and updates a stored recurrence over string positions to accumulate the answer.
27132818,abc224_g,outside_vocabulary,high,"Performs ternary search on a convex expectation function, which is outside the vocabulary."
31785117,abc225_f,dynamic_programming,high,Uses a memoized recurrence over string index and remaining choices.
45483175,abc226_b,hash_map_counting,high,Inserts each encoded sequence into a set and returns the number of distinct keys.
53188054,abc226_d,brute_force_implementation,high,Enumerates every point pair and normalizes its direction without an algorithmic shortcut.
44996770,abc229_a,brute_force_implementation,high,Directly checks the four cells and enumerates the small set of configurations.
44646979,abc229_e,outside_vocabulary,high,The attempted algorithm is offline dynamic connectivity with Union-Find.
54240175,abc230_c,brute_force_implementation,medium,Scans every requested grid cell and directly applies the two diagonal equations.
27770752,abc230_g,outside_vocabulary,high,"Uses a sieve, Möbius values, factorization, and inclusion-exclusion number theory."
44805380,abc232_d,dynamic_programming,high,Fills a grid table from top and left predecessor states.
38349532,abc233_g,dynamic_programming,high,Memoizes a four-boundary rectangle recurrence and combines subrectangles.
44313828,abc233_h,outside_vocabulary,high,The core method is a segment/range tree data structure outside the frozen classes.
45477719,abc234_e,brute_force_implementation,high,Enumerates digit differences and directly constructs every arithmetic-digit candidate.
46026874,abc237_c,two_pointers,high,Advances left and right boundaries over leading and trailing a characters before a palindrome check.
35962547,abc237_f,dynamic_programming,high,Maintains a three-dimensional state table while extending the sequence one value at a time.
52795863,abc238_e,graph_traversal_dfs_bfs,high,Builds an interval-endpoint graph and explores reachability with an explicit stack.
48523335,abc238_f,dynamic_programming,high,Updates a two-dimensional selection state table after sorting the pairs.
52953499,abc239_d,brute_force_implementation,high,Enumerates both players' bounded choices and tests primality directly.
41657280,abc241_f,graph_traversal_dfs_bfs,high,Runs BFS over reachable stopping cells with a queue and visited-distance map.
