annotation_index,program_id,task_id,pattern_label,confidence,annotation_rationale,annotation_source
1,45118973,abc222_g,outside_vocabulary,high,"Pure number-theory computation (Euler phi, divisor enumeration, multiplicative order via binary doubling); no iterative algorithmic pattern from the vocabulary.",claude-blinded-model-annotation
2,53250614,abc223_e,brute_force_implementation,high,"Enumerates all permutations of a fixed 3-element tuple and checks feasibility conditions directly, a small brute-force search space.",claude-blinded-model-annotation
3,51168884,abc224_f,dynamic_programming,medium,"Builds a dp1 table with explicit base cases and a backward fill recurrence, then accumulates a rolling sum from it.",claude-blinded-model-annotation
4,27132818,abc224_g,binary_search,medium,"A ternary-search style loop repeatedly shrinks a monotonic range [l,r] by comparing two interior evaluation points, the vocabulary's closest match to search-space halving.",claude-blinded-model-annotation
5,31785117,abc225_f,dynamic_programming,high,Explicit 2D memo table dp[i][j] with a base case and memoized recursive function checking dp[i][j] is not None before recursing.,claude-blinded-model-annotation
6,45483175,abc226_b,hash_map_counting,high,Adds each input string to a set and reports its size to count distinct values in one pass.,claude-blinded-model-annotation
7,53188054,abc226_d,hash_map_counting,medium,"All-pairs O(n^2) loop whose final answer is the cardinality of a set collecting normalized direction vectors, matching the vocabulary's set-based counting exception to brute force.",claude-blinded-model-annotation
8,44996770,abc229_a,brute_force_implementation,low,Direct hardcoded case analysis over four fixed positions with no loop over input size or real search; closest fit is a direct-formula implementation.,claude-blinded-model-annotation
9,44646979,abc229_e,outside_vocabulary,high,Explicit Union-Find (DSU) class used for offline reverse-order connectivity counting; DSU is named in PATTERN_VOCABULARY.md's own outside-vocabulary example.,claude-blinded-model-annotation
10,54240175,abc230_c,brute_force_implementation,high,Nested loop fills a 2D grid by evaluating an independent arithmetic condition per cell with no search-space reduction or table dependency between cells.,claude-blinded-model-annotation
11,27770752,abc230_g,outside_vocabulary,medium,"Linear sieve plus Mobius-function inversion over divisors; a Counter appears only as a minor internal step, not the defining technique, and sieve/Mobius methods are not in the 12-class vocabulary.",claude-blinded-model-annotation
12,44805380,abc232_d,dynamic_programming,high,Explicit 2D table s[i][j] filled via nested loop with a max-of-neighbors recurrence referencing previously computed cells.,claude-blinded-model-annotation
13,38349532,abc233_g,dynamic_programming,high,"Recursive function dp(lx,ly,rx,ry) with an explicit memo array di and base case, splitting the range by predecessor states.",claude-blinded-model-annotation
14,44313828,abc233_h,binary_search,medium,"Parallel_Bisect narrows ok_list/ng_list bounds via a midpoint and an is_ok predicate each round, the vocabulary's search-space-halving definition, layered on a supporting segment tree.",claude-blinded-model-annotation
15,45477719,abc234_e,brute_force_implementation,high,Enumerates a small range of candidate common-differences and directly constructs/compares each candidate string with no algorithmic shortcut.,claude-blinded-model-annotation
16,46026874,abc237_c,two_pointers,medium,Two independent while loops advance left and right indices inward from both ends under a converging condition before a separate palindrome check.,claude-blinded-model-annotation
17,35962547,abc237_f,dynamic_programming,high,Rolling DP array dp/np updated per step with explicit base case dp[-1]=1 and a defined state-transition fill order.,claude-blinded-model-annotation
18,52795863,abc238_e,graph_traversal_dfs_bfs,high,"Builds an adjacency list and performs a stack-based traversal (list.pop from the end) with visited-array tracking, i.e. DFS.",claude-blinded-model-annotation
19,48523335,abc238_f,dynamic_programming,medium,"After sorting pairs as preprocessing, a rolling 2D table f/nf is updated per element with explicit transitions; an unused BIT class is defined but not the technique actually driving the solve path.",claude-blinded-model-annotation
20,52953499,abc239_d,brute_force_implementation,medium,"Nested loop enumerates candidate i over range(A,B) and j over range(C,D), checking each pair via a precomputed primality set membership test.",claude-blinded-model-annotation
21,41657280,abc241_f,graph_traversal_dfs_bfs,high,"Explicit deque-based BFS with popleft, a visited/distance dict, and neighbor generation along obstacle lines.",claude-blinded-model-annotation
22,46189922,abc241_g,outside_vocabulary,medium,"A Dinic max-flow class drives the solution; BFS/DFS appear only as internal subroutines of the flow algorithm, which is not in the 12-class vocabulary.",claude-blinded-model-annotation
23,45535167,abc242_e,dynamic_programming,high,dp[i+1][0]/dp[i+1][1] are filled from dp[i] with an explicit base case and recurrence in a defined forward order.,claude-blinded-model-annotation
24,44607569,abc243_d,simulation,medium,"Steps through a sequence of L/R/U move commands, compressing them onto a stack and then applying each remaining move to update state X in order.",claude-blinded-model-annotation
25,52524531,abc243_e,dynamic_programming,medium,"The executed main2() path calls a Floyd-Warshall routine whose dis/cnt tables are filled via a triple nested loop with a k-indexed fill order and a predecessor-based recurrence, matching the vocabulary's table-plus-recurrence definition; an unused Dijkstra class is also defined.",claude-blinded-model-annotation
26,45713633,abc244_b,simulation,high,"A Motion object steps through each character of the command string, calling move() or rotate() to update position/direction state turn by turn.",claude-blinded-model-annotation
27,44593613,abc244_d,brute_force_implementation,high,Recursive function f() exhaustively tries all three rotation choices at each of 10 steps with no memo table; an unused UnionFind class is also defined but never called.,claude-blinded-model-annotation
28,45811431,abc245_f,graph_traversal_dfs_bfs,medium,"Kahn's-algorithm-style topological processing: a queue of zero-indegree nodes is drained with popleft, decrementing neighbors' indegree, the vocabulary's closest match for queue-based graph exploration.",claude-blinded-model-annotation
29,33284569,abc246_g,binary_search,high,"Explicit binary-search-on-the-answer loop (mid=(left+right)//2, narrowing left/right by a monotonic check predicate), with the predicate itself implemented via an internal DFS helper.",claude-blinded-model-annotation
